source,target,x1
110,2.98,24
110,2.93,36
110,2.87,60
110,2.85,84
110,2.77,120
110,3.23,240
110,3,360
111,2.15,1
111,2.3,2
111,2.48,3
111,3,6
111,3.11,12
111,3.1,24
111,3.07,36
111,3,60
111,2.99,84
111,2.91,120
111,3.33,240
111,3.08,360
112,1.92,1
112,2.29,2
112,2.51,3
112,3.04,6
112,3.18,12
112,3.25,24
112,3.25,36
112,3.18,60
112,3.15,84
112,3.04,120
112,3.43,240
112,3.17,360
113,1.93,1
113,2.29,2
113,2.52,3
113,3.06,6
113,3.18,12
113,3.23,24
113,3.22,36
113,3.14,60
113,3.11,84
113,3.01,120
113,3.42,240
113,3.17,360
114,1.96,1
114,2.28,2
114,2.5,3
114,3.02,6
114,3.13,12
114,3.15,24
114,3.15,36
114,3.06,60
114,3.05,84
114,2.96,120
114,3.39,240
114,3.14,360
115,1.98,1
115,2.26,2
115,2.37,3
115,2.94,6
115,3.12,12
115,3.13,24
115,3.14,36
115,3.05,60
115,3.03,84
115,2.93,120
115,3.34,240
115,3.1,360
116,1.99,1
116,2.32,2
116,2.4,3
116,2.93,6
116,3.16,12
116,3.15,24
116,3.16,36
116,3.06,60
116,3.05,84
116,2.96,120
116,3.36,240
116,3.11,360
117,1.78,1
117,2.2,2
117,2.39,3
117,2.96,6
117,3.21,12
117,3.13,24
117,3.14,36
117,3.02,60
117,3,84
117,2.91,120
117,3.35,240
117,3.08,360
118,1.63,1
118,2.01,2
118,2.22,3
118,2.78,6
118,3.07,12
118,3.03,24
118,3.07,36
118,3.01,60
118,3.01,84
118,2.96,120
118,3.37,240
118,3.13,360
119,1.58,1
119,1.95,2
119,2.18,3
119,2.79,6
119,2.97,12
119,3.07,24
119,3.09,36
119,3.05,60
119,3.06,84
119,2.99,120
119,3.43,240
119,3.18,360
120,1.57,1
120,1.92,2
120,1.98,3
120,2.68,6
120,2.96,12
120,3.12,24
120,3.14,36
120,3.13,60
120,3.16,84
120,3.09,120
120,3.53,240
120,3.27,360
121,1.55,1
121,1.9,2
121,1.95,3
121,2.64,6
121,2.87,12
121,3.03,24
121,3.05,36
121,3.05,60
121,3.07,84
121,3.01,120
121,3.45,240
121,3.2,360
122,1.36,1
122,1.7,2
122,1.9,3
122,2.62,6
122,2.82,12
122,2.97,24
122,2.99,36
122,2.96,60
122,2.99,84
122,2.93,120
122,3.42,240
122,3.14,360
123,1.33,1
123,1.71,2
123,1.9,3
123,2.59,6
123,2.77,12
123,2.82,24
123,2.82,36
123,2.82,60
123,2.87,84
123,2.82,120
123,3.31,240
123,3.05,360
124,1.27,1
124,1.68,2
124,1.73,3
124,2.52,6
124,2.79,12
124,2.84,24
124,2.85,36
124,2.88,60
124,2.92,84
124,2.88,120
124,3.35,240
124,3.11,360
125,1.28,1
125,1.68,2
125,1.72,3
125,2.51,6
125,2.8,12
125,2.92,24
125,2.99,36
125,3.01,60
125,3.04,84
125,2.98,120
125,3.38,240
125,3.14,360
126,1.12,1
126,1.53,2
126,1.78,3
126,2.55,6
126,2.88,12
126,3.06,24
126,3.13,36
126,3.15,60
126,3.17,84
126,3.1,120
126,3.46,240
126,3.22,360
127,1.12,1
127,1.59,2
127,1.79,3
127,2.55,6
127,2.88,12
127,3.1,24
127,3.21,36
127,3.25,60
127,3.27,84
127,3.2,120
127,3.55,240
127,3.3,360
128,1.16,1
128,1.57,2
128,1.79,3
128,2.56,6
128,2.89,12
128,3.08,24
128,3.21,36
128,3.24,60
128,3.27,84
128,3.2,120
128,3.56,240
128,3.31,360
129,1.19,1
129,1.6,2
129,1.73,3
129,2.51,6
129,2.83,12
129,3.04,24
129,3.13,36
129,3.18,60
129,3.19,84
129,3.13,120
129,3.51,240
129,3.26,360
130,1.12,1
130,1.54,2
130,1.65,3
130,2.44,6
130,2.78,12
130,3.01,24
130,3.12,36
130,3.14,60
130,3.16,84
